"label","category"
"Hostel","Dorms"
"Hostel","Hostel"
"Hostel","Single"
"Hostel","Triple"
"Bus","Bus"
"Limosine","Limosine"
"Train","MonoRail"
"Bus","Shuttle Bus"
"Train","Trains"
"Tours","4WD Tours"
"Adrenaline Sports","Abseiling"
"Adrenaline Sports","Adventure"
"Adrenaline Sports","Aerobatic Flights"
"Ice / Snow Activity","Alpine Hiking"
"Nature","Aquarium"
"Tours","Attraction"
"Adventures","Ballooning"
"Food / Drink Related","Bar/Pub Crawl"
"Food / Drink Related","Beer/Cider Tours"
"Hire Options","Bike Hire"
"Tours","Bike Tours"
"Water Sports","Board Hire"
"Hire Options","Boat Hire"
"Food / Drink Related","Brewery Tours"
"Adventures","Bridge Climb"
"Adrenaline Sports","Bungy Jumping"
"Adventures","Camel Riding"
"Hire Options","Campervan Hire"
"Adventures","Camping"
"Water Sports","Canoeing"
"Adventures","Canyoning"
"Adrenaline Sports","Cars/Go Kart"
"Tours","Caving"
"Tours","City Tour"
"Nature","Crocodile Safari"
"Tours","Cruise"
"Water Sports","Diving"
"Nature","Dolphins/ Dolphin Swim"
"Nature","Eco Tour"
"Adventures","Farm"
"Sport Related","Fishing"
"Health & Wellness","Fitness"
"Water Sports","Fly Board"
"Food / Drink Related","Food Tour"
"Nature","Forest / Rainforest"
"Tours","Geothermal Parks"
"Tours","Ghost Tours"
"Ice / Snow Activity","Glacier Hiking"
"Health & Wellness","Glacier Hot Pools/Massage"
"Adventures","Glowworm Caves"
"Sport Related","Golf"
"Adrenaline Sports","Hang Gliding"
"Hiking","Hiking"
"Nature","Horse Riding"
"Health & Wellness","Hot Pools"
"Adventures","Hovercraft"
"Ice / Snow Activity","Ice Climbing"
"Ice / Snow Activity","Ice Skating"
"Indigenous Culture","Indigenous &amp; Cultural"
"Adventures","Island Hopping"
"Water Sports","Jet Boating"
"Water Sports","Jet Ski"
"Adventures","Jungle Surfing"
"Water Sports","Kayaking"
"Water Sports","Kite Surfing"
"Water Sports","Live Aboard Diving"
"Water Sports","Luge"
"Nature","Marine Parks / Reserve"
"Health & Wellness","Massage"
"Tours","Motorbike Tours"
"Sport Related","Motorsports"
"Adrenaline Sports","Mountain Biking"
"Sport Related","Mountain Climbing"
"Adventures","Mud Run"
"Water Sports","National Parks"
"Tours","Nature Walks"
"Health & Wellness","Natural Therapies"
"Food / Drink Related","Nightlife"
"Nature","Oceans"
"Sport Related","Offshore Fishing"
"Tours","Paddleboarding"
"Water Sports","Parasailing"
"Water Sports","Rafting"
"Adrenaline Sports","Rock Climbing"
"Nature","Scenic Flights"
"Nature","Sea Kayaking"
"Sport Related","Skiing"
"Sport Related","Snowboarding"
"Sport Related","Snowmobiling"
"Health & Wellness","Spas"
"Tours","Special Interest Tours"
"Tours","Special Interest Tours"
"Adventures","Surfing"
"Water Sports","Surfing"
"Health & Wellness","Swimming Pools"
"Water Sports","Swimming with Dolphins"
"Nature","Trekking"
"Adventures","Wildlife Safari"
